Category,File Path,File Name,Lines,Status,Reason,Priority,Action
Third-party,common/src/main/java/rm_javazoom/jl/converter/,Converter.java,~200,Unused,MP3-to-WAV conversion not needed,High,Remove
Third-party,common/src/main/java/rm_javazoom/jl/converter/,RiffFile.java,~150,Unused,Support for converter package,High,Remove
Third-party,common/src/main/java/rm_javazoom/jl/converter/,WaveFile.java,~200,Unused,Support for converter package,High,Remove
Third-party,common/src/main/java/rm_javazoom/jl/converter/,WaveFileObuffer.java,~150,Unused,Support for converter package,High,Remove
Third-party,common/src/main/java/rm_javazoom/jl/converter/,jlc.java,~100,Unused,CLI converter tool,High,Remove
Third-party,common/src/main/java/rm_javazoom/jl/player/,Player.java,~200,Unused,Basic player not used (using AdvancedPlayer),Medium,Evaluate then remove
Third-party,common/src/main/java/rm_javazoom/jl/player/,PlayerApplet.java,~150,Unused,Java Applet (deprecated tech),Medium,Remove
Third-party,common/src/main/java/rm_javazoom/jl/player/,jlp.java,~100,Unused,CLI player tool,Medium,Remove
Third-party,common/src/main/java/rm_javazoom/jl/player/,NullAudioDevice.java,~80,Unused,Extends AudioDeviceBase but never instantiated,Medium,Evaluate then remove
Third-party,common/src/main/java/rm_javazoom/jl/player/,AudioDeviceFactory.java,~120,Unused,Factory only used by unused Player class,Medium,Evaluate then remove
Third-party,common/src/main/java/rm_javazoom/jl/player/,JavaSoundAudioDeviceFactory.java,~80,Unused,Factory not needed (direct instantiation),Medium,Evaluate then remove
Third-party,common/src/main/java/rm_javazoom/jl/player/,FactoryRegistry.java,~150,Partially Used,Referenced by AdvancedPlayer internally,Medium,Refactor then remove
Third-party,common/src/main/java/rm_javazoom/jl/player/,AudioDeviceBase.java,~120,Partially Used,Base class for JavaSoundAudioDevice,Medium,Keep or refactor
Third-party,common/src/main/java/rm_javazoom/jl/player/advanced/,PlaybackListener.java,~50,Unused Externally,Interface defined but never used by MochaMix,Medium,Evaluate then remove
Third-party,common/src/main/java/rm_javazoom/jl/player/advanced/,PlaybackEvent.java,~100,Unused Externally,Event class never used by MochaMix,Medium,Evaluate then remove
Third-party,common/src/main/java/rm_javazoom/jl/player/advanced/,jlap.java,~80,Unused,CLI advanced player tool,Medium,Remove
Examples,v1_21_1/src/main/java/rocamocha/mochamix/zones/,ZoneManagementExamples.java,178,Unused,Example code in production source,Medium,Move to tests or remove
Examples,v1_21_1/src/main/java/rocamocha/mochamix/zones/,ZoneUsageGuide.java,169,Unused,Redundant example code,High,Remove
Method,v1_21_1/src/main/java/rocamocha/reactivemusic/impl/audio/,RMPlayer.normalizeSongFileName(),~10,Unused,Marked @SuppressWarnings unused,Low,Remove or use
Method,v1_21_1/src/main/java/rocamocha/mochamix/impl/vector3/,Vector3Math.sqrt(),~10,Unused,Custom sqrt implementation not used,High,Remove
Documentation,common/src/main/java/rm_javazoom/jl/decoder/,readme.txt,~15,Keep,Library documentation,N/A,Keep
Documentation,v1_21_1/src/main/java/rocamocha/mochamix/zones/,README.md,~160,Keep,Useful zone system documentation,N/A,Keep
